group,Column1,alignments,comments,distance ,original,phone similarity,suggested alignment,index,Target,Transcript,phn_correct_original,insert_count_original,delete_count_original,sub_count_original,total_phns_original,if_first_vowel_missing_original,phn_correct_participant,insert_count_participant,delete_count_participant,sub_count_participant,total_phns_participant,if_first_vowel_missing_participant,IS,IW,DS,DW
0,m ? n d ? s i ? p r o t?,"[('m', 'm'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('s', 's'), ('t', '-'), ('e', 'i'), ('t', '-'), ('?', '?'), ('p', 'p'), ('r', 'r'), ('o', 'o'), ('t?', 't?')]","Alignment was missing ? in ""amend.""",4,? m ? n d ? s t e t ? p r o t?,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 84.0, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('m', 'm'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('s', 's'), ('t', '-'), ('e', 'i'), ('t', '-'), ('?', '?'), ('p', 'p'), ('r', 'r'), ('o', 'o'), ('t?', 't?')]",0,amend estate approach,Mend a sea approach,11.0,0.0,3.0,1.0,15.0,0.0,11.0,0.0,4.0,1.0,16.0,1.0,2.0,0.0,0.0,0.0
1,m ? n d ? z h i ? p r o t?,"[('m', 'm'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('s', 'z'), ('t', '-'), ('-', 'h'), ('e', 'i'), ('t', '-'), ('?', '?'), ('p', 'p'), ('r', 'r'), ('o', 'o'), ('t?', 't?')]","Alignment was missing ? in ""amend.""",6,? m ? n d ? s t e t ? p r o t?,"[0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 84.0, 46.5, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('m', 'm'), ('?', '?'), ('n', 'n'), ('d', 'd'), ('?', '?'), ('s', 'z'), ('t', '-'), ('-', 'h'), ('e', 'i'), ('t', '-'), ('?', '?'), ('p', 'p'), ('r', 'r'), ('o', 'o'), ('t?', 't?')]",8,amend estate approach,"men, does he approach",9.0,1.0,3.0,3.0,15.0,0.0,9.0,1.0,4.0,3.0,16.0,1.0,,,,
2,b ? ? ? r b i p k ? m æ n d,"[('v', 'b'), ('?', '?'), ('?', '?'), ('d', '-'), ('?', '?'), ('r', 'r'), ('b', 'b'), ('i', 'i'), ('t', 'p'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]","Alignment was missing ? in ""avoid.""",4,? v ? ? d ? r b i t k ? m æ n d,"[9.500000000000004, 0.0, 0.0, 89.0, 0.0, 0.0, 0.0, 0.0, 6.000000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('v', 'b'), ('?', '?'), ('?', '?'), ('d', '-'), ('?', '?'), ('r', 'r'), ('b', 'b'), ('i', 'i'), ('t', 'p'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]",16,avoid or beat command,Boy or beep command,12.0,0.0,1.0,2.0,15.0,0.0,12.0,0.0,2.0,2.0,16.0,1.0,1.0,0.0,0.0,0.0
3,b ? ? b ? r p i k ? m æ n d,"[('v', 'b'), ('?', '?'), ('?', '?'), ('d', 'b'), ('?', '?'), ('r', 'r'), ('b', 'p'), ('i', 'i'), ('t', '-'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]","Alignment was missing ? in ""avoid.""",6,? v ? ? d ? r b i t k ? m æ n d,"[9.500000000000004, 0.0, 0.0, 6.000000000000001, 0.0, 0.0, 5.0, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '-'), ('v', 'b'), ('?', '?'), ('?', '?'), ('d', 'b'), ('?', '?'), ('r', 'r'), ('b', 'p'), ('i', 'i'), ('t', '-'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]",24,avoid or beat command,Boy Burpee Comand,10.0,0.0,1.0,4.0,15.0,0.0,10.0,0.0,2.0,4.0,16.0,1.0,1.0,0.0,1.0,0.0
4,? ? w e t f ? r ð ? k ? m æ n d,"[('?', '?'), ('v', '-'), ('?', '?'), ('-', 'w'), ('?', 'e'), ('d', 't'), ('-', 'f'), ('?', '?'), ('r', 'r'), ('b', 'ð'), ('i', '?'), ('t', '-'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]","No suggested alignment, was curious why the dipthong '???' is separated out here when it seems to be aligned to a single vowel for other transcriptions. See Row 61 & 121 on Ataxic Data for examples",9,? v ? ? d ? r b i t k ? m æ n d,"[0.0, 85.5, 0.0, 75.0, 0.0, 5.0, 80.5, 0.0, 0.0, 11.5, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '?'), ('v', '-'), ('?', '?'), ('-', 'w'), ('?', 'e'), ('d', 't'), ('-', 'f'), ('?', '?'), ('r', 'r'), ('b', 'ð'), ('i', '?'), ('t', '-'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]",32,avoid or beat command,I wait for the command,8.0,2.0,2.0,6.0,16.0,0.0,8.0,2.0,2.0,6.0,16.0,0.0,1.0,0.0,0.0,0.0
5,b æ l ? n s k l ? ? ? n t æ n d m ? t ? l,"[('b', 'b'), ('æ', 'æ'), ('l', 'l'), ('?', '?'), ('n', 'n'), ('s', 's'), ('k', 'k'), ('l', 'l'), ('-', '?'), ('æ', '??'), ('m', 'n'), ('p', 't'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('b', '-'), ('-', 'm'), ('?', '?'), ('t', 't'), ('?', '?'), ('l', 'l')]",Paired /b/ and /m/ since they are both bilabial consonants,6,b æ l ? n s k l æ m p æ n d b ? t ? l,,"[('b', 'b'), ('æ', 'æ'), ('l', 'l'), ('?', '?'), ('n', 'n'), ('s', 's'), ('k', 'k'), ('l', 'l'), ('-', '?'), ('æ', '??'), ('m', 'n'), ('p', 't'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('b', 'm'), ('?', '?'), ('t', 't'), ('?', '?'), ('l', 'l')]",40,balance clamp and bottle,balance client and model,15.0,2.0,1.0,3.0,19.0,0.0,15.0,1.0,0.0,4.0,19.0,0.0,,,,
6,s ? ? n ? s ? ? k ? n b æ t,"[('b', 's'), ('?', '?'), ('s', '-'), ('?', '?'), ('-', 'n'), ('?', '?'), ('d', '-'), ('?', '-'), ('s', 's'), ('?', '?'), ('?', '?'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('b', 'b'), ('æ', 'æ'), ('t', 't')]","Aligned /s/ in ""sign"" to /s/ in beside. This aligns the second vowel /?/  and the alveolar consonants /d/ and /n/.",3,b ? s ? ? d ? s ? ? k ? n b æ t,"[18.5, 0.0, 76.5, 0.0, 109.0, 0.0, 89.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('b', '-'), ('?', '-'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'n'), ('?', '-'), ('s', 's'), ('?', '?'), ('?', '?'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('b', 'b'), ('æ', 'æ'), ('t', 't')]",48,beside a sunken bat,sign sunken bat,9.0,1.0,3.0,4.0,16.0,0.0,11.0,0.0,3.0,2.0,16.0,1.0,,,,
7,? s ? ? n ? s ? ? k ? n b æ t,"[('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', '-'), ('-', 'n'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('b', 'b'), ('æ', 'æ'), ('t', 't')]","Added missing /b/ to alignment. Same as above, I believe the alveolar consonants /d/ and /n/ can be aligned.",2,b ? s ? ? d ? s ? ? k ? n b æ t,"[0.0, 0.0, 0.0, 0.0, 89.0, 109.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('b', '-'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('d', 'n'), ('?', '?'), ('s', 's'), ('?', '?'), ('?', '?'), ('k', 'k'), ('?', '?'), ('n', 'n'), ('b', 'b'), ('æ', 'æ'), ('t', 't')]",56,beside a sunken bat,Assign a sunken bat,14.0,1.0,1.0,0.0,15.0,0.0,14.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
8,h i s ? n t ? s s ? m ? ? ? b æ k,"[('-', 'h'), ('?', 'i'), ('s', 's'), ('??', '?'), ('-', 'n'), ('d', 't'), ('?', '?'), ('s', 'ss'), ('?', '?'), ('-', 'm'), ('-', '?'), ('-', '?'), ('?', '?'), ('k', '-'), ('?', '-'), ('n', '-'), ('b', 'b'), ('æ', 'æ'), ('t', 'k')]","Missing /b/ in alignment. Split /s/ and aligned the first nasal consonants in ""sunken"" and ""something.""",12,b ? s ? ? d ? s ? ? k ? n b æ t,,"[('b', '-'), ('-', 'h'), ('?', 'i'), ('s', 's'), ('??', '?'), ('-', 'n'), ('d', 't'), ('?', '?'), ('-', 's'), ('s', 's'), ('?', '?'), ('?', 'm'), ('k', '-'), ('-', '?'), ('?', '?'), ('n', '?'), ('b', 'b'), ('æ', 'æ'), ('t', 'k')]",64,beside a sunken bat,he sent us something back,5.0,5.0,4.0,6.0,15.0,1.0,5.0,4.0,3.0,8.0,16.0,0.0,1.0,0.0,0.0,0.0
9,ð ? s ? z f r o z ? n æ f t ? r,"[('b', 'ð'), ('?', '?'), ('?', 's'), ('?', '?'), ('z', 'z'), ('t?', '-'), ('-', 'f'), ('-', 'r'), ('o', 'o'), ('z', 'z'), ('?', '?'), ('n', 'n'), ('æ', 'æ'), ('f', 'f'), ('t', 't'), ('?', '?'), ('r', 'r')]",Aligned voiceless fricative consonants /t?/ and /f/.,5,b ? ? ? z t? o z ? n æ f t ? r,"[11.5, 0.0, 3.999999999999999, 0.0, 0.0, 75.0, 80.5, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('b', 'ð'), ('?', '?'), ('?', 's'), ('?', '?'), ('z', 'z'), ('t?', 'f'), ('-', 'r'), ('o', 'o'), ('z', 'z'), ('?', '?'), ('n', 'n'), ('æ', 'æ'), ('f', 'f'), ('t', 't'), ('?', '?'), ('r', 'r')]",72,bush is chosen after,This is frozen after,11.0,2.0,2.0,3.0,16.0,0.0,11.0,1.0,1.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0
