group,Column1,alignments,comments,distance,original,phone similarity,suggested alignments,index,Target,Transcript,phn_correct_original,insert_count_original,delete_count_original,sub_count_original,total_phns_original,if_first_vowel_missing_original,phn_correct_participant,insert_count_participant,delete_count_participant,sub_count_participant,total_phns_participant,if_first_vowel_missing_participant
0,? m u s b ? t s æ t ? p i r,"[('æ', '?'), ('d', '-'), ('v', '-'), ('æ', '-'), ('n', 'm'), ('-', 'u'), ('s', 's'), ('b', 'b'), ('?', '?'), ('t', 't'), ('s', 's'), ('æ', 'æ'), ('t', 't'), ('?', '?'), ('p', 'p'), ('i', 'i'), ('l', '-'), ('-', 'r')]",I don't disagree with the original alignment but this also makes more sense to me.,6,æ d v æ n s b ? t s æ t ? p i l,"[0.0, 89.0, 85.5, 75.0, 6.000000000000001, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.0, 84.0]","[('æ', '?'), ('d', '-'), ('v', 'm'), ('æ', 'u'), ('n', '-'), ('s', 's'), ('b', 'b'), ('?', '?'), ('t', 't'), ('s', 's'), ('æ', 'æ'), ('t', 't'), ('?', '?'), ('p', 'p'), ('i', 'i'), ('l', 'r')]",0,advance but sat appeal,a moose but sat appear,10,2,4,2,16,0,10,0,2,4,16,0
1,? r æ n t s b ? t s æ d ? p i l,"[('æ', '?'), ('d', '-'), ('v', '-'), ('-', 'r'), ('æ', 'æ'), ('n', 'n'), ('-', 't'), ('s', 's'), ('b', 'b'), ('?', '?'), ('t', 't'), ('s', 's'), ('æ', 'æ'), ('t', 'd'), ('?', '?'), ('p', 'p'), ('i', 'i'), ('l', 'l')]",I don't disagree with the original alignment but this also makes more sense to me.,5,æ d v æ n s b ? t s æ t ? p i l,"[0.0, 89.0, 85.5, 84.0, 0.0, 0.0, 84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0]","[('æ', '?'), ('d', '-'), ('v', 'r'), ('æ', 'æ'), ('n', 'n'), ('-', 't'), ('s', 's'), ('b', 'b'), ('?', '?'), ('t', 't'), ('s', 's'), ('æ', 'æ'), ('t', 'd'), ('?', '?'), ('p', 'p'), ('i', 'i'), ('l', 'l')]",8,advance but sat appeal,a rants but sad appeal,12,2,2,2,16,0,12,1,1,3,16,0
2,? m æ n w ? l s t e ? f l o t,"[('?', '?'), ('m', 'm'), ('?', 'æ'), ('n', 'n'), ('d', '-'), ('-', 'w'), ('?', '?'), ('-', 'l'), ('s', 's'), ('t', 't'), ('e', 'e'), ('t', '-'), ('?', '?'), ('p', 'f'), ('r', '-'), ('-', 'l'), ('o', 'o'), ('t', 't'), ('?', '-')]",I don't disagree with the original alignment but this also makes more sense to me.,8,? m ? n d ? s t e t ? p r o t?,"[0.0, 0.0, 0.0, 0.0, 89.0, 75.0, 0.0, 79.0, 0.0, 0.0, 0.0, 84.0, 0.0, 9.500000000000004, 84.0, 79.0, 0.0, 0.0, 72.5]","[('?', '?'), ('m', 'm'), ('?', 'æ'), ('n', 'n'), ('d', 'w'), ('?', '?'), ('-', 'l'), ('s', 's'), ('t', 't'), ('e', 'e'), ('t', '-'), ('?', '?'), ('p', 'f'), ('r', '-'), ('-', 'l'), ('o', 'o'), ('t', 't'), ('?', '-')]",16,amend estate approach,a man will stay afloat,9,3,4,3,16,0,9,2,3,4,16,0
3,? l ð o ? r b i k ? m æ n d,"[('?', '?'), ('v', 'v'), ('?', '?'), ('?', '?'), ('d', 'd'), ('?', '?'), ('r', 'r'), ('b', 'b'), ('i', 'i'), ('t', 't'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]",Participant transcription was missing - it was a duplicate of the target transcription,0,? v ? ? d ? r b i t k ? m æ n d,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '?'), ('-', 'l'), ('v', 'ð'), ('?', 'o'), ('?', '-'), ('d', '-'), ('?', '?'), ('r', 'r'), ('b', 'b'), ('i', 'i'), ('t', '-'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]",24,avoid or beat command,although or be command,16,0,0,0,16,0,10,1,3,3,16,0
4,? v ? ? d ? b i k m æ n,"[('?', '?'), ('v', 'v'), ('?', '?'), ('?', '?'), ('d', 'd'), ('?', '?'), ('r', 'r'), ('b', 'b'), ('i', 'i'), ('t', 't'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]",Participant transcription was missing - it was a duplicate of the target transcription,0,? v ? ? d ? r b i t k ? m æ n d,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '?'), ('v', 'v'), ('?', '?'), ('?', '?'), ('d', 'd'), ('?', '?'), ('r', '-'), ('b', 'b'), ('i', 'i'), ('t', '-'), ('k', 'k'), ('?', '-'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', '-')]",32,avoid or beat command,avoid a beak man,16,0,0,0,16,0,11,0,4,1,16,0
5,? v ? ? d ? b i k ? r m æ n,"[('?', '?'), ('v', 'v'), ('?', '?'), ('?', '?'), ('d', 'd'), ('?', '?'), ('r', 'r'), ('b', 'b'), ('i', 'i'), ('t', 't'), ('k', 'k'), ('?', '?'), ('m', 'm'), ('æ', 'æ'), ('n', 'n'), ('d', 'd')]",Participant transcription was missing - it was a duplicate of the target transcription,0,? v ? ? d ? r b i t k ? m æ n d,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '?'), ('v', 'v'), ('?', '?'), ('?', '?'), ('d', 'd'), ('?', '?'), ('r', '-'), ('b', 'b'), ('i', 'i'), ('t', '-'), ('k', 'k'), ('?', '?'), ('-', 'r'), ('m', 'm'), ('æ', 'æ'), ('n', 'n')]",40,avoid or beat command,avoid a beaker man,16,0,0,0,16,0,12,1,2,1,15,0
6,? w ? r d ? v ð ? s d r e n ? w e,"[('?', '?'), ('w', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('h', '-'), ('?', '?'), ('-', 'v'), ('z', 'ð'), ('-', '?'), ('-', 's'), ('d', 'd'), ('r', 'r'), ('e', 'e'), ('n', 'n'), ('?', '?'), ('w', 'w'), ('e', 'e')]","Aligned using /?z/ with what the participant heard [?z], this shifted the alignments over.",5,? w ? r d h ? z d r e n ? w e,"[0.0, 0.0, 0.0, 0.0, 0.0, 46.5, 0.0, 85.5, 2.0000000000000018, 75.0, 76.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '?'), ('w', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('-', '?'), ('-', 'v'), ('h', 'ð'), ('?', '?'), ('z', 's'), ('d', 'd'), ('r', 'r'), ('e', 'e'), ('n', 'n'), ('?', '?'), ('w', 'w'), ('e', 'e')]",48,award his drain away,a word of this drain away,11,3,1,3,15,0,12,2,0,3,15,0
7,? w ? r d ? v ð ? s s t r e t ? w e,"[('?', '?'), ('w', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('h', '-'), ('?', '?'), ('-', 'v'), ('z', 'ð'), ('-', '?'), ('-', 's'), ('-', 's'), ('d', 't'), ('r', 'r'), ('e', 'e'), ('n', '-'), ('-', 't'), ('?', '?'), ('w', 'w'), ('e', 'e')]","Aligned using /?z/ with what the participant heard [?z], this shifted the alignments over.",8,? w ? r d h ? z d r e n ? w e ,"[0.0, 0.0, 0.0, 0.0, 0.0, 46.5, 0.0, 85.5, 2.0000000000000018, 75.0, 76.5, 76.5, 5.0, 0.0, 0.0, 109.0, 84.0, 0.0, 0.0, 0.0]","[('?', '?'), ('w', 'w'), ('?', '?'), ('r', 'r'), ('d', 'd'), ('-', '?'), ('-', 'v'), ('h', 'ð'), ('?', '?'), ('z', 's'), ('-', 's'), ('d', 't'), ('r', 'r'), ('e', 'e'), ('n', '-'), ('-', 't'), ('?', '?'), ('w', 'w'), ('e', 'e')]",56,award his drain away,a word of this straight away,9,5,2,4,15,0,10,4,1,4,15,0
8,? r e h ? z d r e n ? w e,"[('?', '?'), ('w', '-'), ('?', '-'), ('r', 'r'), ('d', '-'), ('-', 'e'), ('h', 'h'), ('?', '?'), ('z', 'z'), ('d', 'd'), ('r', 'r'), ('e', 'e'), ('n', 'n'), ('?', '?'), ('w', 'w'), ('e', 'e')]","Seems like the 'r' in the original alignment may be recognized as a ""Glide?"" and could be aligned to the 'w' instead. I may be wrong in this assumption.",3,? w ? r d h ? z d r e n ? w e,"[0.0, 75.0, 75.0, 0.0, 89.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('?', '?'), ('w', 'r'), ('?', 'e'), ('r', '-'), ('d', '-'), ('h', 'h'), ('?', '?'), ('z', 'z'), ('d', 'd'), ('r', 'r'), ('e', 'e'), ('n', 'n'), ('?', '?'), ('w', 'w'), ('e', 'e')]",64,award his drain away,array his drain away,12,1,3,0,15,0,11,0,2,2,15,0
9,b e l w ? ? k l æ m p æ n d b ? t ? l,"[('b', 'b'), ('æ', '?'), ('l', 'l'), ('æ', 'æ'), ('n', 'n'), ('s', 's'), ('k', 'k'), ('l', 'l'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('b', 'b'), ('?', '?'), ('t', 't'), ('?', '?'), ('l', 'l')]",Participant transcription was missing - it was from somewhere else?,1,b æ l æ n s k l æ m p æ n d b ? t ? l,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[('b', 'b'), ('æ', 'e'), ('l', 'l'), ('-', 'w'), ('æ', '?'), ('-', '?'), ('n', '-'), ('s', '-'), ('k', 'k'), ('l', 'l'), ('æ', 'æ'), ('m', 'm'), ('p', 'p'), ('æ', 'æ'), ('n', 'n'), ('d', 'd'), ('b', 'b'), ('?', '?'), ('t', 't'), ('?', '?'), ('l', 'l')]",72,balance clamp and bottle,bell with clamp and bottle,18,0,0,1,19,0,15,2,2,2,19,0
